ticker,name,index
MELI,MELI,SP500_NASDAQ
MET,MET,SP500_NASDAQ
META,META,SP500_NASDAQ
MGM,MGM,SP500_NASDAQ
MKC,MKC,SP500_NASDAQ
MLM,MLM,SP500_NASDAQ
MMM,MMM,SP500_NASDAQ
MNST,MNST,SP500_NASDAQ
MO,MO,SP500_NASDAQ
MOH,MOH,SP500_NASDAQ
MOS,MOS,SP500_NASDAQ
MPC,MPC,SP500_NASDAQ
MPWR,MPWR,SP500_NASDAQ
MRK,MRK,SP500_NASDAQ
MRNA,MRNA,SP500_NASDAQ
MRSH,MRSH,SP500_NASDAQ
MRVL,MRVL,SP500_NASDAQ
MS,MS,SP500_NASDAQ
MSCI,MSCI,SP500_NASDAQ
MSFT,MSFT,SP500_NASDAQ
MSI,MSI,SP500_NASDAQ
MSTR,MSTR,SP500_NASDAQ
MTB,MTB,SP500_NASDAQ
MTCH,MTCH,SP500_NASDAQ
MTD,MTD,SP500_NASDAQ
MU,MU,SP500_NASDAQ
NCLH,NCLH,SP500_NASDAQ
NDAQ,NDAQ,SP500_NASDAQ
NDSN,NDSN,SP500_NASDAQ
NEE,NEE,SP500_NASDAQ
NEM,NEM,SP500_NASDAQ
NFLX,NFLX,SP500_NASDAQ
NI,NI,SP500_NASDAQ
NKE,NKE,SP500_NASDAQ
NOC,NOC,SP500_NASDAQ
NOW,NOW,SP500_NASDAQ
NRG,NRG,SP500_NASDAQ
NSC,NSC,SP500_NASDAQ
NTAP,NTAP,SP500_NASDAQ
NTRS,NTRS,SP500_NASDAQ
NUE,NUE,SP500_NASDAQ
NVDA,NVDA,SP500_NASDAQ
NVR,NVR,SP500_NASDAQ
NWS,NWS,SP500_NASDAQ
NWSA,NWSA,SP500_NASDAQ
NXPI,NXPI,SP500_NASDAQ
O,O,SP500_NASDAQ
ODFL,ODFL,SP500_NASDAQ
OKE,OKE,SP500_NASDAQ
OMC,OMC,SP500_NASDAQ
ON,ON,SP500_NASDAQ
ORCL,ORCL,SP500_NASDAQ
ORLY,ORLY,SP500_NASDAQ
OTIS,OTIS,SP500_NASDAQ
OXY,OXY,SP500_NASDAQ
PANW,PANW,SP500_NASDAQ
PAYC,PAYC,SP500_NASDAQ
PAYX,PAYX,SP500_NASDAQ
PCAR,PCAR,SP500_NASDAQ
PCG,PCG,SP500_NASDAQ
PDD,PDD,SP500_NASDAQ
PEG,PEG,SP500_NASDAQ
PEP,PEP,SP500_NASDAQ
PFE,PFE,SP500_NASDAQ
PFG,PFG,SP500_NASDAQ
PG,PG,SP500_NASDAQ
PGR,PGR,SP500_NASDAQ
PH,PH,SP500_NASDAQ
PHM,PHM,SP500_NASDAQ
PKG,PKG,SP500_NASDAQ
PLD,PLD,SP500_NASDAQ
PLTR,PLTR,SP500_NASDAQ
PM,PM,SP500_NASDAQ
PNC,PNC,SP500_NASDAQ
PNR,PNR,SP500_NASDAQ
PNW,PNW,SP500_NASDAQ
PODD,PODD,SP500_NASDAQ
POOL,POOL,SP500_NASDAQ
PPG,PPG,SP500_NASDAQ
PPL,PPL,SP500_NASDAQ
PRU,PRU,SP500_NASDAQ
PSA,PSA,SP500_NASDAQ
PSKY,PSKY,SP500_NASDAQ
PSX,PSX,SP500_NASDAQ
PTC,PTC,SP500_NASDAQ
PWR,PWR,SP500_NASDAQ
PYPL,PYPL,SP500_NASDAQ
Q,Q,SP500_NASDAQ
QCOM,QCOM,SP500_NASDAQ
RCL,RCL,SP500_NASDAQ
REG,REG,SP500_NASDAQ
REGN,REGN,SP500_NASDAQ
RF,RF,SP500_NASDAQ
RJF,RJF,SP500_NASDAQ
RL,RL,SP500_NASDAQ
RMD,RMD,SP500_NASDAQ
ROK,ROK,SP500_NASDAQ
ROL,ROL,SP500_NASDAQ
ROP,ROP,SP500_NASDAQ
ROST,ROST,SP500_NASDAQ
RSG,RSG,SP500_NASDAQ
RTX,RTX,SP500_NASDAQ
RVTY,RVTY,SP500_NASDAQ
SBAC,SBAC,SP500_NASDAQ
SBUX,SBUX,SP500_NASDAQ
SCHW,SCHW,SP500_NASDAQ
SHOP,SHOP,SP500_NASDAQ
SHW,SHW,SP500_NASDAQ
